teryt;geo;pop;males;females
00;Polska;38382576;18567052;19815524
02;dolnośląskie;2900163;1394635;1505528
04;kujawsko-pomorskie;2072373;1004306;1068067
06;lubelskie;2108270;1021848;1086422
08;lubuskie;1011592;492166;519426
10;łódzkie;2454779;1169635;1285144
12;małopolskie;3410901;1655472;1755429
14;mazowieckie;5423168;2595023;2828145
16;opolskie;982626;475166;507460
18;podkarpackie;2127164;1041834;1085330
20;podlaskie;1178353;574218;604135
22;pomorskie;2343928;1141225;1202703
24;śląskie;4517635;2177295;2340340
26;świętokrzyskie;1233961;601664;632297
28;warmińsko-mazurskie;1422737;695909;726828
30;wielkopolskie;3498733;1702134;1796599
32;zachodniopomorskie;1696193;824522;871671
