date;ddate;average;nterpolated;rrend;numberOfDays
1958-05-01;1958.375;317.50;317.50;314.71;-1
1959-05-01;1959.375;318.29;318.29;315.50;-1
1960-05-01;1960.375;320.03;320.03;317.24;-1
1961-05-01;1961.375;320.58;320.58;317.70;-1
1962-05-01;1962.375;321.01;321.01;318.20;-1
1963-05-01;1963.375;322.25;322.25;319.39;-1
1964-05-01;1964.375;322.25;322.25;319.42;-1
1965-05-01;1965.375;322.16;322.16;319.36;-1
1966-05-01;1966.375;324.01;324.01;321.18;-1
1967-05-01;1967.375;325.00;325.00;322.27;-1
1968-05-01;1968.375;325.57;325.57;322.87;-1
1969-05-01;1969.375;327.34;327.34;324.57;-1
1970-05-01;1970.375;328.07;328.07;325.27;-1
1971-05-01;1971.375;328.92;328.92;326.11;-1
1972-05-01;1972.375;330.07;330.07;327.23;-1
1973-05-01;1973.375;332.48;332.48;329.62;-1
1974-05-01;1974.375;333.20;333.20;330.27;14
1975-05-01;1975.375;333.94;333.94;330.98;28
1976-05-01;1976.375;334.77;334.77;331.84;22
1977-05-01;1977.375;336.93;336.93;333.98;20
1978-05-01;1978.375;338.03;338.03;335.06;26
1979-05-01;1979.375;339.21;339.21;336.21;12
1980-05-01;1980.375;341.48;341.48;338.43;25
1981-05-01;1981.375;343.03;343.03;339.98;30
1982-05-01;1982.375;344.63;344.63;341.56;26
1983-05-01;1983.375;346.03;346.03;342.87;28
1984-05-01;1984.375;347.63;347.63;344.45;21
1985-05-01;1985.375;349.06;349.06;345.91;24
1986-05-01;1986.375;350.38;350.38;347.26;18
1987-05-01;1987.375;352.09;352.09;349.01;27
1988-05-01;1988.375;354.21;354.21;351.06;28
1989-05-01;1989.375;355.86;355.86;352.67;28
1990-05-01;1990.375;357.32;357.32;354.16;29
1991-05-01;1991.375;359.13;359.13;356.00;29
1992-05-01;1992.375;359.59;359.59;356.41;26
1993-05-01;1993.375;360.19;360.19;357.03;30
1994-05-01;1994.375;361.65;361.65;358.46;30
1995-05-01;1995.375;363.69;363.69;360.58;29
1996-05-01;1996.375;365.13;365.13;362.10;30
1997-05-01;1997.375;366.64;366.64;363.74;29
1998-05-01;1998.375;369.42;369.42;366.55;30
1999-05-01;1999.375;370.96;370.96;368.15;26
2000-05-01;2000.375;371.58;371.58;368.71;28
2001-05-01;2001.375;373.85;373.85;370.94;24
2002-05-01;2002.375;375.76;375.76;372.81;29
2003-05-01;2003.375;378.60;378.60;375.55;30
2004-05-01;2004.375;380.62;380.62;377.48;28
2005-05-01;2005.375;382.45;382.45;379.31;31
2006-05-01;2006.375;385.03;385.03;381.87;24
2007-05-01;2007.375;386.56;386.56;383.34;29
2008-05-01;2008.375;388.54;388.54;385.45;25
2009-05-01;2009.375;390.14;390.14;387.02;30
2010-05-01;2010.375;393.00;393.00;389.88;28
2011-05-01;2011.375;394.19;394.19;391.02;30
2012-05-01;2012.375;396.74;396.74;393.54;30
2013-05-01;2013.375;399.78;399.78;396.40;28
2014-05-01;2014.375;401.78;401.78;398.37;22
2015-05-01;2015.375;403.96;403.96;400.63;30
2016-05-01;2016.375;407.72;407.72;404.40;29
2017-05-01;2017.375;409.69;409.69;406.36;27
2018-05-01;2018.375;411.24;411.24;407.91;24
