"","CodeM49","Area","Item","Element","YearCode","Unit","Value","X"
"1","004","Afghanistan","Population","TotalPop",2010,"1000 persons",29186,NA
"2","008","Albania","Population","TotalPop",2010,"1000 persons",2948,NA
"3","012","Algeria","Population","TotalPop",2010,"1000 persons",35977,NA
"4","024","Angola","Population","TotalPop",2010,"1000 persons",23356,NA
"5","028","Antigua and Barbuda","Population","TotalPop",2010,"1000 persons",88,NA
"6","032","Argentina","Population","TotalPop",2010,"1000 persons",40896,NA
"7","051","Armenia","Population","TotalPop",2010,"1000 persons",2877.32,NA
"8","036","Australia","Population","TotalPop",2010,"1000 persons",22155,NA
"9","040","Austria","Population","TotalPop",2010,"1000 persons",8410,NA
"10","031","Azerbaijan","Population","TotalPop",2010,"1000 persons",9032,NA
"11","004","Afghanistan","Population","TotalPop",2020,"1000 persons",38928.35,NA
"12","044","Bahamas","Population","TotalPop",2010,"1000 persons",355,NA
"13","008","Albania","Population","TotalPop",2020,"1000 persons",2877.8,NA
"14","048","Bahrain","Population","TotalPop",2020,"1000 persons",1701.58,NA
"15","050","Bangladesh","Population","TotalPop",2010,"1000 persons",147575,NA
"16","012","Algeria","Population","TotalPop",2020,"1000 persons",43851.04,NA
"17","024","Angola","Population","TotalPop",2020,"1000 persons",32866.27,NA
"18","052","Barbados","Population","TotalPop",2010,"1000 persons",282,NA
"19","028","Antigua and Barbuda","Population","TotalPop",2020,"1000 persons",97.93,NA
"20","112","Belarus","Population","TotalPop",2010,"1000 persons",9421,NA
"21","032","Argentina","Population","TotalPop",2020,"1000 persons",45195.77,NA
"22","056","Belgium","Population","TotalPop",2010,"1000 persons",10941,NA
"23","048","Bahrain","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3484,NA
"24","051","Armenia","Population","TotalPop",2020,"1000 persons",2963.24,NA
"25","084","Belize","Population","TotalPop",2010,"1000 persons",322,NA
"26","204","Benin","Population","TotalPop",2010,"1000 persons",9199,NA
"27","036","Australia","Population","TotalPop",2020,"1000 persons",25499.88,NA
"28","040","Austria","Population","TotalPop",2020,"1000 persons",9006.4,NA
"29","064","Bhutan","Population","TotalPop",2020,"1000 persons",771.61,NA
"30","068","Bolivia (Plurinational State of)","Population","TotalPop",2010,"1000 persons",10049,NA
"31","031","Azerbaijan","Population","TotalPop",2020,"1000 persons",10139.18,NA
"32","048","Bahrain","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",94.9,NA
"33","070","Bosnia and Herzegovina","Population","TotalPop",2010,"1000 persons",3705,NA
"34","044","Bahamas","Population","TotalPop",2020,"1000 persons",393.24,NA
"35","072","Botswana","Population","TotalPop",2010,"1000 persons",1987,NA
"36","050","Bangladesh","Population","TotalPop",2020,"1000 persons",164689.38,NA
"37","076","Brazil","Population","TotalPop",2010,"1000 persons",195714,NA
"38","004","Afghanistan","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2170,NA
"39","064","Bhutan","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3287,NA
"40","100","Bulgaria","Population","TotalPop",2010,"1000 persons",7425,NA
"41","008","Albania","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3184,NA
"42","052","Barbados","Population","TotalPop",2020,"1000 persons",287.38,NA
"43","012","Algeria","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3250,NA
"44","112","Belarus","Population","TotalPop",2020,"1000 persons",9449.32,NA
"45","854","Burkina Faso","Population","TotalPop",2010,"1000 persons",15605,NA
"46","024","Angola","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2358,NA
"47","056","Belgium","Population","TotalPop",2020,"1000 persons",11589.62,NA
"48","132","Cabo Verde","Population","TotalPop",2010,"1000 persons",493,NA
"49","028","Antigua and Barbuda","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2311,NA
"50","084","Belize","Population","TotalPop",2020,"1000 persons",397.63,NA
"51","064","Bhutan","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",90.05,NA
"52","116","Cambodia","Population","TotalPop",2010,"1000 persons",14312,NA
"53","204","Benin","Population","TotalPop",2020,"1000 persons",12123.2,NA
"54","032","Argentina","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3162,NA
"55","051","Armenia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3146,NA
"56","120","Cameroon","Population","TotalPop",2010,"1000 persons",20341,NA
"57","124","Canada","Population","TotalPop",2010,"1000 persons",34148,NA
